"maille";"LAT";"LON";"ALT"
877;49.3012;-0.13592;4
878;49.3034;-0.02608;78
879;49.3055;0.08378;50
880;49.3076;0.19365;68
881;49.3095;0.30352;113
882;49.3113;0.41341;128
883;49.313;0.5233;103
884;49.3146;0.6332;89
885;49.3161;0.7431;124
886;49.3175;0.85301;128
887;49.3188;0.96293;92
888;49.32;1.07285;36
889;49.3211;1.18278;55
890;49.3221;1.29271;100
891;49.323;1.40264;133
892;49.3238;1.51258;124
893;49.3246;1.62253;108
894;49.3251;1.73247;97
895;49.3257;1.84242;123
896;49.3261;1.95237;169
897;49.3264;2.06232;181
898;49.3266;2.17227;137
899;49.3267;2.28222;83
900;49.3267;2.39218;95
901;49.3266;2.50213;73
902;49.3264;2.61208;43
903;49.3261;2.72203;52
904;49.3257;2.83198;84
905;49.3251;2.94193;127
906;49.3246;3.05187;139
907;49.3238;3.16182;134
908;49.323;3.27176;130
909;49.3221;3.38169;122
910;49.3211;3.49162;119
911;49.32;3.60155;107
912;49.3188;3.71147;129
913;49.3175;3.82139;129
914;49.3161;3.9313;117
915;49.3146;4.0412;93
916;49.313;4.1511;110
917;49.3113;4.26099;107
918;49.3095;4.37088;124
919;49.3076;4.48075;140
920;49.3055;4.59062;167
921;49.3034;4.70048;127
922;49.3012;4.81032;132
923;49.2989;4.92016;172
924;49.2965;5.02999;199
925;49.294;5.13981;250
926;49.2914;5.24962;223
927;49.2887;5.35942;286
928;49.2859;5.4692;255
929;49.2829;5.57897;222
930;49.2799;5.68873;244
931;49.2768;5.79848;270
932;49.2736;5.90821;252
933;49.2703;6.01793;288
934;49.2669;6.12764;205
935;49.2633;6.23733;194
936;49.2597;6.347;259
937;49.256;6.45666;227
938;49.2522;6.5663;280
939;49.2483;6.67593;246
940;49.2443;6.78554;231
941;49.2402;6.89513;247
942;49.236;7.00471;246
943;49.2272;7.2238;291
944;49.2227;7.33332;287
945;49.2181;7.44282;301
946;49.2134;7.5523;344
947;49.2085;7.66176;355
948;49.2036;7.7712;327
949;49.1986;7.88061;318
950;49.1916;-1.55749;17
951;49.1951;-1.44795;27
952;49.1985;-1.3384;15
953;49.2018;-1.22883;12
954;49.205;-1.11925;27
955;49.2081;-1.00966;45
956;49.2111;-0.90005;88
